Date,Open,High,Low,Close,Volume,Adj Close
2016-05-09,45.810001,45.880001,45.540001,45.599998,6569100,45.140428
2016-05-06,45.689999,46.200001,45.540001,46.16,6777300,45.694785
2016-05-05,46.310001,46.380001,45.709999,45.790001,6971000,45.328515
2016-05-04,46.080002,46.369999,45.720001,46.02,8070100,45.556197
2016-05-03,46.830002,46.860001,46.290001,46.490002,9322200,46.021461
2016-05-02,47.290001,47.299999,46.810001,47.27,6204000,46.793599
2016-04-29,47.220001,47.540001,46.779999,47.099998,6371900,46.62531
2016-04-28,47.470001,47.91,47.18,47.380001,5664100,46.902491
2016-04-27,47.549999,47.880001,47.34,47.830002,5705800,47.347956
2016-04-26,47.09,47.490002,47.049999,47.43,5040000,46.951986
2016-04-25,47.16,47.16,46.689999,47.049999,4601900,46.575815
2016-04-22,47.029999,47.360001,46.950001,47.209999,5429800,46.734202
2016-04-21,47.23,47.41,46.869999,46.880001,6070600,46.40753
2016-04-20,47.290001,47.32,46.970001,47.09,6506700,46.615412
2016-04-19,46.419998,47.259998,46.349998,47.23,6326100,46.754001
2016-04-18,45.799999,46.25,45.630001,46.240002,4465700,45.773981
2016-04-15,45.939999,46.060001,45.650002,46.029999,3437400,45.566094
2016-04-14,45.990002,46.07,45.720001,45.82,3538300,45.358211
2016-04-13,45.630001,45.939999,45.59,45.790001,4825900,45.328515
2016-04-12,44.990002,45.419998,44.740002,45.34,4704900,44.88305
2016-04-11,44.919998,45.189999,44.720001,44.720001,3845700,44.269299
2016-04-08,44.470001,45.02,44.470001,44.52,4405700,44.071314
2016-04-07,44.540001,44.610001,44.040001,44.23,5067100,43.784236
2016-04-06,44.259998,44.880001,43.970001,44.880001,5672700,44.427686
2016-04-05,44.32,44.59,44.259998,44.369999,5483200,43.922824
2016-04-04,44.950001,45.209999,44.57,44.650002,5660600,44.200005
2016-04-01,44.490002,45.240002,44.16,45.240002,8590500,44.784059
2016-03-31,45.240002,45.299999,44.66,44.810001,5557800,44.358392
2016-03-30,45.189999,45.380001,45.00,45.189999,4036300,44.73456
2016-03-29,44.43,45.00,44.279999,44.990002,4095600,44.536578
2016-03-28,44.50,44.900002,44.459999,44.740002,3949300,44.289098
2016-03-24,44.18,44.57,43.990002,44.549999,3762100,44.10101
2016-03-23,44.73,44.869999,44.470001,44.549999,5663600,44.10101
2016-03-22,44.75,45.279999,44.68,45.110001,4096100,44.655368
2016-03-21,45.32,45.630001,44.759998,45.630001,5074700,45.170128
2016-03-18,45.509998,45.740002,45.169998,45.419998,7630200,44.962241
2016-03-17,44.490002,45.529999,44.490002,45.389999,7780900,44.777125
2016-03-16,43.50,44.57,43.50,44.57,7289700,43.968197
2016-03-15,43.700001,44.200001,43.439999,44.200001,4984300,43.603194
2016-03-14,44.119999,44.34,43.93,44.099998,5472000,43.504542
2016-03-11,44.029999,44.52,44.029999,44.400002,5020000,43.800494
2016-03-10,43.48,43.860001,43.099998,43.599998,7578900,43.011293
2016-03-09,43.330002,43.580002,43.07,43.369999,5612800,42.784399
2016-03-08,43.599998,43.610001,42.849998,43.099998,6288900,42.518044
2016-03-07,43.48,44.060001,43.470001,43.959999,7884400,43.366433
2016-03-04,43.009998,43.740002,42.869999,43.459999,9907800,42.873184
2016-03-03,42.610001,43.07,42.529999,42.959999,8605500,42.379935
2016-03-02,42.389999,42.790001,42.259998,42.700001,9864300,42.123447
2016-03-01,42.299999,42.98,42.029999,42.869999,12092500,42.29115
2016-02-29,42.139999,42.560001,41.779999,41.799999,6838800,41.235598
2016-02-26,41.799999,42.290001,41.799999,42.060001,6753100,41.49209
2016-02-25,41.029999,41.490002,40.669998,41.459999,5135700,40.900189
2016-02-24,40.099998,40.98,39.91,40.93,10142400,40.377346
2016-02-23,41.200001,41.220001,40.439999,40.509998,6533700,39.963015
