Date,Open,High,Low,Close,Volume,Adj Close
2016-05-09,79.25,79.730003,79.220001,79.50,5216500,78.917957
2016-05-06,78.540001,79.279999,78.279999,79.279999,5391700,78.699566
2016-05-05,79.18,79.269997,78.639999,78.699997,6294800,78.123811
2016-05-04,78.919998,79.550003,78.849998,79.209999,6438200,78.630079
2016-05-03,79.709999,80.040001,79.410004,79.57,5779300,78.987444
2016-05-02,79.419998,80.370003,79.32,80.309998,6648000,79.722024
2016-04-29,79.449997,79.580002,78.599998,79.199997,8399500,78.62015
2016-04-28,79.269997,79.970001,78.629997,78.800003,7300400,78.223085
2016-04-27,79.699997,79.860001,79.269997,79.660004,5711600,79.076789
2016-04-26,79.690002,80.00,79.309998,79.739998,3898500,79.156198
2016-04-25,79.309998,79.559998,78.989998,79.550003,3897200,78.967594
2016-04-22,79.660004,79.910004,78.970001,79.459999,4730000,78.878249
2016-04-21,80.110001,80.260002,79.589996,79.620003,4142700,79.037081
2016-04-20,80.00,80.169998,79.519997,79.900002,4785500,79.31503
2016-04-19,80.339996,80.459999,79.50,79.800003,4272800,79.215763
2016-04-18,79.489998,80.239998,79.269997,80.239998,4463000,79.652537
2016-04-15,79.279999,79.540001,79.050003,79.489998,4299700,78.908028
2016-04-14,79.32,79.510002,79.00,79.269997,3462300,78.689637
2016-04-13,78.629997,79.300003,78.50,79.269997,5040500,78.689637
2016-04-12,77.599998,78.290001,77.25,78.169998,5751300,77.597692
2016-04-11,78.110001,78.459999,77.540001,77.580002,5871000,77.012016
2016-04-08,78.309998,78.389999,77.580002,77.870003,5159300,77.299893
2016-04-07,78.559998,78.809998,77.650002,77.989998,5173400,77.41901
2016-04-06,78.239998,78.949997,78.040001,78.879997,6777100,78.302493
2016-04-05,78.410004,78.550003,77.959999,78.139999,8548000,77.567913
2016-04-04,79.519997,79.599998,78.709999,78.809998,9471800,78.233006
2016-04-01,78.599998,79.599998,78.540001,79.43,8141800,78.84847
2016-03-31,79.07,79.389999,78.970001,79.099998,5070400,78.520884
2016-03-30,79.010002,79.370003,78.860001,79.190002,5274200,78.610229
2016-03-29,77.790001,78.760002,77.790001,78.690002,5489600,78.113889
2016-03-28,77.660004,78.239998,77.599998,77.900002,5132600,77.329672
2016-03-24,76.82,77.559998,76.599998,77.550003,6958100,76.982236
2016-03-23,77.629997,77.830002,77.370003,77.449997,8522000,76.882962
2016-03-22,77.57,78.220001,77.540001,78.00,4492300,77.428939
2016-03-21,78.07,78.220001,77.639999,78.129997,4049400,77.557984
2016-03-18,78.129997,78.470001,77.949997,78.089996,9706500,77.518276
2016-03-17,78.029999,78.599998,77.790001,78.309998,6160800,77.418016
2016-03-16,77.480003,78.370003,77.260002,78.199997,7254300,77.309269
2016-03-15,77.099998,77.599998,77.099998,77.57,4499600,76.686447
2016-03-14,77.080002,77.809998,77.080002,77.589996,5500300,76.706216
2016-03-11,76.769997,77.300003,76.580002,77.300003,5693600,76.419526
2016-03-10,76.300003,76.620003,75.139999,76.129997,8064900,75.262847
2016-03-09,76.080002,76.139999,75.440002,75.940002,6744700,75.075016
2016-03-08,75.940002,76.50,75.720001,75.790001,6340000,74.926723
2016-03-07,76.32,76.779999,75.940002,76.389999,7435500,75.519888
2016-03-04,76.830002,77.050003,76.379997,76.720001,7746700,75.846131
2016-03-03,76.209999,76.800003,76.010002,76.790001,9519400,75.915333
2016-03-02,76.279999,76.419998,75.800003,76.339996,7637800,75.470454
2016-03-01,75.089996,76.470001,74.839996,76.410004,9345800,75.539664
2016-02-29,74.849998,75.43,74.440002,74.440002,8742800,73.592102
2016-02-26,75.389999,75.389999,74.68,74.830002,6966300,73.977659
2016-02-25,74.25,74.93,73.830002,74.910004,5548200,74.05675
2016-02-24,73.129997,74.290001,72.309998,74.169998,10821600,73.325173
2016-02-23,73.940002,74.459999,73.540001,73.739998,6456700,72.900071
2016-02-22,73.389999,74.260002,73.330002,74.150002,5645000,73.305404
2016-02-19,72.080002,72.760002,71.650002,72.739998,7591600,71.911461
2016-02-18,73.059998,73.080002,72.290001,72.540001,6974200,71.713742
2016-02-17,72.230003,73.209999,72.139999,73.019997,9774700,72.188271
